HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
G9106,Onc dx pancreatc p r1/r2 no,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; post r1 or r2 resection with no evidence of disease progression, or metastases (for use in a medicare-approved demonstration project)"
G9107,Onc dx pancreatic unresectab,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; unresectable at diagnosis, m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration project)"
G9108,Onc dx pancreatic unknwn nos,"Oncology; disease status; pancreatic cancer, limited to adenocarcinoma; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"
G9109,Onc dx head/neck t1-t2no prg,"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease initially established as t1-t2 and n0, m0 (prior to neo-adjuvant therapy, if any) with no "
G9110,Onc dx head/neck t3-4 noprog,"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease initially established as t3-4 and/or n1-3, m0 (prior to neo-adjuvant therapy, if any) with"
G9111,Onc dx head/neck m1 mets rec,"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; m1 at diagnosis, metastatic, locally recurrent, or progressive (for use in a medicare-approved demonstration"
G9112,Onc dx head/neck ext unknown,"Oncology; disease status; head and neck cancer, limited to cancers of oral cavity, pharynx and larynx with squamous cell as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration "
G9113,Onc dx ovarian stg1a-b no pr,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage ia-b (grade 1) without evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"
G9114,Onc dx ovarian stg1a-b or 2,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage ia-b (grade 2-3); or stage ic (all grades); or stage ii; without evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstrat"
G9115,Onc dx ovarian stg3/4 noprog,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; pathologic stage iii-iv; without evidence of progression, recurrence, or metastases (for use in a medicare-approved demonstration project)"
G9116,Onc dx ovarian recurrence,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; evidence of disease progression, or recurrence, and/or platinum resistance (for use in a medicare-approved demonstration project)"
G9117,Onc dx ovarian unknown nos,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"
G9123,Onc dx cml chronic phase,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; chronic phase not in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"
G9124,Onc dx cml acceler phase,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; accelerated phase not in hematologic cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"
G9125,Onc dx cml blast phase,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; blast phase not in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"
G9126,Onc dx cml remission,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; in hematologic, cytogenetic, or molecular remission (for use in a medicare-approved demonstration project)"
G9128,Onc dx multi myeloma stage i,"Oncology; disease status; limited to multiple myeloma, systemic disease; smoldering, stage i (for use in a medicare-approved demonstration project)"
G9129,Onc dx mult myeloma stg2 hig,"Oncology; disease status; limited to multiple myeloma, systemic disease; stage ii or higher (for use in a medicare-approved demonstration project)"
G9130,Onc dx multi myeloma unknown,"Oncology; disease status; limited to multiple myeloma, systemic disease; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)"
G9131,Onc dx brst unknown nos,"Oncology; disease status; invasive female breast cancer (does not include ductal carcinoma in situ); adenocarcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration proje"
G9132,Onc dx prostate mets no cast,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; hormone-refractory/androgen-independent (e.g., rising psa on anti-androgen therapy or post-orchiectomy); clinical metastases (for use in a medicare-approved demonstration project)"
G9133,Onc dx prostate clinical met,"Oncology; disease status; prostate cancer, limited to adenocarcinoma; hormone-responsive; clinical metastases or m1 at diagnosis (for use in a medicare-approved demonstration project)"
G9134,Onc nhlstg 1-2 no relap no,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; stage i, ii at diagnosis, not relapsed, not refractory (for use in a medicare-approved demonstration project)"
G9135,Onc dx nhl stg 3-4 not relap,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; stage iii, iv, not relapsed, not refractory (for use in a medicare-approved demonstration project)"
G9136,Onc dx nhl trans to lg bcell,"Oncology; disease status; non-hodgkin's lymphoma, transformed from original cellular diagnosis to a second cellular classification (for use in a medicare-approved demonstration project)"
G9137,Onc dx nhl relapse/refractor,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; relapsed/refractory (for use in a medicare-approved demonstration project)"
G9138,Onc dx nhl stg unknown,"Oncology; disease status; non-hodgkin's lymphoma, any cellular classification; diagnostic evaluation, stage not determined, evaluation of possible relapse or non-response to therapy, or not listed (for use in a medicare-approved demonstration project)"
G9139,Onc dx cml dx status unknown,"Oncology; disease status; chronic myelogenous leukemia, limited to philadelphia chromosome positive and/or bcr-abl positive; extent of disease unknown, staging in progress, not listed (for use in a medicare-approved demonstration project)"
G9140,Frontier extended stay demo,Frontier extended stay clinic demonstration; for a patient stay in a clinic approved for the cms demonstration project; the following measures should be present: the stay must be equal to or greater than 4 hours; weather or other conditions must prevent t
G9143,Warfarin respon genetic test,"Warfarin responsiveness testing by genetic technique using any method, any number of specimen(s)"
G9147,Outpt iv insulin tx any mea,"Outpatient intravenous insulin treatment (oivit) either pulsatile or continuous, by any means, guided by the results of measurements for: respiratory quotient; and/or, urine urea nitrogen (uun); and/or, arterial, venous or capillary glucose; and/or potass"
G9148,Medical home level 1,National committee for quality assurance - level 1 medical home
G9149,Medical home level ii,National committee for quality assurance - level 2 medical home
G9150,Medical home level iii,National committee for quality assurance - level 3 medical home
G9151,Mapcp demo state,Mapcp demonstration - state provided services
G9152,Mapcp demo community,Mapcp demonstration - community health teams
G9153,Mapcp demo physician,Mapcp demonstration - physician incentive pool
G9156,Evaluation for wheelchair,Evaluation for wheelchair requiring face to face visit with physician
G9157,Transesoph doppl cardiac mon,"Transesophageal doppler measurement of cardiac output (including probe placement, image acquisition, and interpretation per course of treatment) for monitoring purposes"
G9158,Motor speech d/c status,"Motor speech functional limitation, discharge status, at discharge from therapy or to end reporting"
G9159,Lang comp current status,"Spoken language comprehension functional limitation, current status at therapy episode outset and at reporting intervals"
G9160,Lang comp goal status,"Spoken language comprehension functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9161,Lang comp d/c status,"Spoken language comprehension functional limitation, discharge status, at discharge from therapy or to end reporting"
G9162,Lang express current status,"Spoken language expression functional limitation, current status at therapy episode outset and at reporting intervals"
G9163,Lang express goal status,"Spoken language expression functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9164,Lang express d/c status,"Spoken language expression functional limitation, discharge status at discharge from therapy or to end reporting"
G9165,Atten current status,"Attention functional limitation, current status at therapy episode outset and at reporting intervals"
G9166,Atten goal status,"Attention functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9167,Atten d/c status,"Attention functional limitation, discharge status at discharge from therapy or to end reporting"
G9168,Memory current status,"Memory functional limitation, current status at therapy episode outset and at reporting intervals"
G9169,Memory goal status,"Memory functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9170,Memory d/c status,"Memory functional limitation, discharge status at discharge from therapy or to end reporting"
G9171,Voice current status,"Voice functional limitation, current status at therapy episode outset and at reporting intervals"
G9172,Voice goal status,"Voice functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9173,Voice d/c status,"Voice functional limitation, discharge status at discharge from therapy or to end reporting"
G9174,Speech lang current status,"Other speech language pathology functional limitation, current status at therapy episode outset and at reporting intervals"
G9175,Speech lang goal status,"Other speech language pathology functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9176,Speech lang d/c status,"Other speech language pathology functional limitation, discharge status at discharge from therapy or to end reporting"
G9186,Motor speech goal status,"Motor speech functional limitation, projected goal status at therapy episode outset, at reporting intervals, and at discharge or to end reporting"
G9187,Bpci home visit,"Bundled payments for care improvement initiative home visit for patient assessment performed by a qualified health care professional for individuals not considered homebound including, but not limited to, assessment of safety, falls, clinical status, flui"
G9188,Beta not given no reason,"Beta-blocker therapy not prescribed, reason not given"
G9189,Beta pres or already taking,Beta-blocker therapy prescribed or currently being taken
G9190,Medical reason for no beta,"Documentation of medical reason(s) for not prescribing beta-blocker therapy (eg, allergy, intolerance, other medical reasons)"
G9191,Pt reason for no beta,"Documentation of patient reason(s) for not prescribing beta-blocker therapy (eg, patient declined, other patient reasons)"
G9192,System reason for no beta,"Documentation of system reason(s) for not prescribing beta-blocker therapy (eg, other reasons attributable to the health care system)"
G9193,Doc not eligible for dep med,Clinician documented that patient with a diagnosis of major depression was not an eligible candidate for antidepressant medication treatment or patient did not have a diagnosis of major depression
G9194,Mdd pt treated for 180d,Patient with a diagnosis of major depression documented as being treated with antidepressant medication during the entire 180 day (6 month) continuation treatment phase
G9195,Mdd pt not treated for 180d,Patient with a diagnosis of major depression not documented as being treated with antidepressant medication during the entire 180 day (6 months) continuation treatment phase
G9196,Med reason for no ceph,"Documentation of medical reason(s) for not ordering a first or second generation cephalosporin for antimicrobial prophylaxis (e.g., patients enrolled in clinical trials, patients with documented infection prior to surgical procedure of interest, patients "
G9197,Order for ceph,Documentation of order for first or second generation cephalosporin for antimicrobial prophylaxis
G9198,No order for ceph no reason,"Order for first or second generation cephalosporin for antimicrobial prophylaxis was not documented, reason not given"
G9199,Doc reason for no vte,"Venous thromboembolism (vte) prophylaxis not administered the day of or the day after hospital admission for documented reasons (eg, patient is ambulatory, patient expired during inpatient stay, patient already on warfarin or another anticoagulant, other "
G9200,No reason for no vte,"Venous thromboembolism (vte) prophylaxis was not administered the day of or the day after hospital admission, reason not given"
G9201,Vte given upon admission,Venous thromboembolism (vte) prophylaxis administered the day of or the day after hospital admission
G9202,Hep c aby pos,Patients with a positive hepatitis c antibody test
G9203,Hep c rna done prior to med,Rna testing for hepatitis c documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c
G9204,No reason for no hep c rna,"Rna testing for hepatitis c was not documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c, reason not given"
G9205,Hep c antiviral started,Patient starting antiviral treatmentfor hepatitis c during the measurement period
G9206,Hep c therapy started,Patient starting antiviral treatment for hepatitis c during the measurement period
G9207,Hep c genotype prior to med,Hepatitis c genotype testing documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c
G9208,No reason for no hep c geno,"Hepatitis c genotype testing was not documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c, reason not given"
G9209,Hep c rna 4to12 wk after med,Hepatitis c quantitative rna testing documented as performed between 4-12 weeks after the initiation of antiviral treatment
G9210,No hepc rna after med docrsn,"Hepatitis c quantitative rna testing not performed between 4-12 weeks after the initiation of antiviral treatment for documented reason(s) (e.g., patients whose treatment was discontinued during the testing period prior to testing, other medical reasons, "
G9211,No hepc rna after med no rsn,"Hepatitis c quantitative rna testing was not documented as performed between 4-12 weeks after the initiation of antiviral treatment, reason not given"
G9212,Doc of dsm-iv init eval,Dsm-ivtm criteria for major depressive disorder documented at the initial evaluation
G9213,No doc of dsm-iv,"Dsm-iv-tr criteria for major depressive disorder not documented at the initial evaluation, reason not otherwise specified"
G9214,Cd4 count documented,Cd4+ cell count or cd4+ cell percentage results documented
G9215,No cd4 count no reason,"Cd4+ cell count or percentage not documented as performed, reason not given"
G9216,No pcp proph at dx no reason,"Pcp prophylaxis was not prescribed at time of diagnosis of hiv, reason not given"
G9217,No pcp proph low cd4 norsn,"Pcp prophylaxis was not prescribed within 3 months of low cd4+ cell count below 200 cells/mm3, reason not given"
G9218,No pcp prop low at cd4 norsn,"Pcp prophylaxis was not prescribed within 3 months oflow cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%, reason not given"
G9219,No oder pjp for med reason,"Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of low cd4+ cell count below 200 cells/mm3 for medical reason (i.e., patient's cd4+ cell count above threshold within 3 months after cd4+ cell count below threshold, indicating tha"
G9220,No order for pjp for medrsn,"Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15% for medical reason (i.e., patient's cd4+ cell count above threshold within 3 months after cd4+ cell count b"
G9221,Pjp proph prescribed,Pneumocystis jiroveci pneumonia prophlaxis prescribed
G9222,Pjp proph ordered low cd4,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low cd4+ cell count below 200 cells/mm3
G9223,Pjp proph ordered cd4 low,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%
G9224,Medrsn no foot exam,"Documentation of medical reason for not performing foot exam (e.g., patient with bilateral foot/leg amputation)"
G9225,Norsn no foot exam,"Foot exam was not performed, reason not given"
G9226,3 comp foot exam completed,"Foot examination performed (includes examination through visual inspection, sensory exam with 10-g monofilament plus testing any one of the following: vibration using 128-hz tuning fork, pinprick sensation, ankle reflexes, or vibration perception threshol"
G9227,"Foa doc, care plan not doc","Functional outcome assessment documented, care plan not documented, documentation the patient is not eligible for a care plan at the time of the encounter"
G9228,Gc chl syp documented,"Chlamydia, gonorrhea and syphilis screening results documented (report when results are present for all of the 3 screenings)"
G9229,Ptrsn no gc chl syp test,"Chlamydia, gonorrhea, and syphilis screening results not documented (patient refusal is the only allowed exception)"
G9230,Norsn for gc chl syp test,"Chlamydia, gonorrhea, and syphilis not screened, reason not given"
G9231,Doc esrd dia trans preg,"Documentation of end stage renal disease (esrd), dialysis, renal transplant before or during the measurement period or pregnancy during the measurement period"
G9232,Ptrsn no comm comorbid,"Clinician treating major depressive disorder did not communicate to clinician treating comorbid condition for specified patient reason (e.g., patient is unable to communicate the diagnosis of a comorbid condition; the patient is unwilling to communicate t"
G9233,Tkr composite,All quality actions for the applicable measures in the total knee replacement measures group have been performed for this patient
G9234,Tkr intent,I intend to report the total knee replacement measures group
G9235,Gs mg composite,All quality actions for the applicable measures in the general surgery measures group have been performed for this patient
G9236,Op rad mg composite,All quality actions for the applicable measures in the optimizing patient exposure to ionizing radiation measures group have been performed for this patient
G9237,Gs mg intent,I intend to report the general surgery measures group
G9238,Op rad mg intent,I intend to report the optimizing patient exposure to ionizing radiation measures group
G9239,Doc rsn hemod & cath acc,"Documentation of reasons for patient initiating maintenance hemodialysis with a catheter as the mode of vascular access (e.g., patient has a maturing arteriovenous fistula (avf)/arteriovenous graft (avg), time-limited trial of hemodialysis, other medical "
G9240,Doc pt w cath maint dia,Patient whose mode of vascular access is a catheter at the time maintenance hemodialysis is initiated
G9241,Doc pt w out cath maint dia,Patient whose mode of vascular access is not a catheter at the time maintenance hemodialysis is initiated
G9242,Doc viral load >=200,Documentation of viral load equal to or greater than 200 copies/ml or viral load not performed
G9243,Doc viral load <200,Documentation of viral load less than 200 copies/ml
G9244,Antiviral not ordered,Antiretroviral thereapy not prescribed
G9245,Antiviral ordered,Antiretroviral therapy prescribed
G9246,No med visit in 24mo,"Patient did not have at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits"
G9247,1 med visit in 24mo,"Patient had at least one medical visit in each 6 month period of the 24 month measurement period, with a minimum of 60 days between medical visits"
G9248,No med visit 6mo,Patient did not have a medical visit in the last 6 months
G9249,Med visit w in 6mo,Patient had a medical visit in the last 6 months
G9250,Doc of pain comfort 48hr,Documentation of patient pain brought to a comfortable level within 48 hours from initial assessment
G9251,Doc no pain comfort 48hr,Documentation of patient with pain not brought to a comfortable level within 48 hours from initial assessment
G9252,Neo detect scrn colo,Adenoma(s) or other neoplasm detected during screening colonoscopy
G9253,No neo detect scrn colo,Adenoma(s) or other neoplasm not detected during screening colonoscopy
G9254,Doc pt dischg >2d,Documentation of patient discharged to home later than post-operative day 2 following cas
G9255,Doc pt dischg <=2d,Documentation of patient discharged to home no later than post operative day 2 following cas
G9256,Doc of pat death after cas,Documentation of patient death following cas
G9257,Doc of pat stroke after cas,Documentation of patient stroke following cas
G9258,Doc of pat stroke after cea,Documentation of patient stroke following cea
G9259,Survive/no stroke post cas,Documentation of patient survival and absence of stroke following cas
G9260,Doc of pat death after cea,Documentation of patient death following cea
G9261,Survive/no stroke post cea,Documentation of patient survival and absence of stroke following cea
G9262,Doc of death post-aaa repair,Documentation of patient death in the hospital following endovascular aaa repair
G9263,Doc of disch post-aaa repair,Documentation of patient discharged alive following endovascular aaa repair
G9264,Doc rsn hemod w/cath >=90d,"Documentation of patient receiving maintenance hemodialysis for greater than or equal to 90 days with a catheter for documented reasons (e.g., other medical reasons, patient declined arteriovenous fistula (avf)/arteriovenous graft (avg), other patient rea"
G9265,Doc cath >90d for maint dia,Patient receiving maintenance hemodialysis for greater than or equal to 90 days with a catheter as the mode of vascular access
G9266,Norsn pt cath >=90d,Patient receiving maintenance hemodialysis for greater than or equal to 90 days without a catheter as the mode of vascular access
G9267,Doc comp or mort w in 30d,Documentation of patient with one or more complications or mortality within 30 days
G9268,Doc comp or mort w in 90d,Documentation of patient with one or more complications within 90 days
G9269,Doc no comp or mort w in 30d,Documentation of patient without one or more complications and without mortality within 30 days
G9270,Doc no comp or mort w in 90d,Documentation of patient without one or more complications within 90 days
G9271,Ldl under 100,Ldl value < 100
G9272,Ldl 100 and over,Ldl value >= 100
G9273,Sys<140 and dia<90,Blood pressure has a systolic value of < 140 and a diastolic value of < 90
G9274,Bp out of nrml limits,Blood pressure has a systolic value of =140 and a diastolic value of = 90 or systolic value < 140 and diastolic value = 90 or systolic value = 140 and diastolic value < 90
G9275,Doc of non tobacco user,Documentation that patient is a current non-tobacco user
G9276,Doc of tobacco user,Documentation that patient is a current tobacco user
G9277,Doc daily aspirin or contra,"Documentation that the patient is on daily aspirin or anti-platelet or has documentation of a valid contraindication or exception to aspirin/anti-platelet; contraindications/exceptions include anti-coagulant use, allergy to aspirin or anti-platelets, hist"
G9278,Doc no daily aspirin,Documentation that the patient is not on daily aspirin or anti-platelet regimen
G9279,Pne scrn done doc vac done,Pneumococcal screening performed and documentation of vaccination received prior to discharge
G9280,Pne not given norsn,"Pneumococcal vaccination not administered prior to discharge, reason not specified"
G9281,Pne scrn done doc not ind,Screening performed and documentation that vaccination not indicated/patient refusal
G9282,Doc medrsn no histo type,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., biopsy taken for other purposes in a patient with a history of non-small cell lung cancer or other documented medical reasons"
G9283,Hist type doc on report,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation
G9284,No hist type doc on report,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation
G9285,Site not small cell lung ca,Specimen site other than anatomic location of lung or is not classified as non small cell lung cancer
G9286,Antibio rx w in 10d of sympt,Antibiotic regimen prescribed within 10 days after onset of symptoms
G9287,No antibio w in 10d of sympt,Antibiotic regimen not prescribed within 10 days after onset of symptoms
G9288,Doc medrsn no hist type rpt,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in a person with a history of non-small cell carcinoma or other documented medical reasons)"
G9289,Doc type nsm lung ca,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation
G9290,No doc type nsm lung ca,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation
G9291,Not nsm lung ca,"Specimen site other than anatomic location of lung, is not classified as non small cell lung cancer or classified as nsclc-nos"
G9292,Medrsn no pt category,"Documentation of medical reason(s) for not reporting pt category and a statement on thickness and ulceration and for pt1, mitotic rate (e.g., negative skin biopsies in a patient with a history of melanoma or other documented medical reasons)"
G9293,No pt category on report,"Pathology report does not include the pt category and a statement on thickness and ulceration and for pt1, mitotic rate"
G9294,Pt cat and thck on report,"Pathology report includes the pt category and a statement on thickness and ulceration and for pt1, mitotic rate"
G9295,Non cutaneous loc,Specimen site other than anatomic cutaneous location
G9296,Doc share dec prior proc,"Patients with documented shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure"
G9297,No doc share dec prior proc,"Shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure, not documented, reason not given"
G9298,Eval risk vte card 30d prior,"Patients who are evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g., history of dvt, pe, mi, arrhythmia and stroke)"
G9299,No eval risk vte card prior,"Patients who are not evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g., history of dvt, pe, mi, arrhythmia and stroke, reason not given)"
G9300,Doc medrsn no compl antibio,"Documentation of medical reason(s) for not completely infusing the prophylactic antibiotic prior to the inflation of the proximal tourniquet (e.g., a tourniquet was not used)"
G9301,Doc compl inf antibio,Patients who had the prophylactic antibiotic completely infused prior to the inflation of the proximal tourniquet
G9302,Norsn incomp inf antibio,"Prophylactic antibiotic not completely infused prior to the inflation of the proximal tourniquet, reason not given"
G9303,Norsn no pros info op rpt,"Operative report does not identify the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant, reason not given"
G9304,Pros info op rpt,"Operative report identifies the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant"
G9305,No interv req for leak,Intervention for presence of leak of endoluminal contents through an anastomosis not required
G9306,Interv req for leak,Intervention for presence of leak of endoluminal contents through an anastomosis required
G9307,No ret for surg w in 30d,"No return to the operating room for a surgical procedure, for complications of the principal operative procedure, within 30 days of the principal operative procedure"
G9308,Unpl ret or w/compl w/in 30d,"Unplanned return to the operating room for a surgical procedure, for complications of the principal operative procedure, within 30 days of the principal operative procedure"
G9309,No unplnd hosp readm in 30d,No unplanned hospital readmission within 30 days of principal procedure
G9310,Unplnd hosp readm in 30d,Unplanned hospital readmission within 30 days of principal procedure
G9311,No surg site infection,No surgical site infection
G9312,Surgical site infection,Surgical site infection
G9313,Amoxic not presc as 1st line,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis for documented reason"
G9314,Norsn not first line amox,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis, reason not given"
G9315,Doc first line amox,"Documentation amoxicillin, with or without clavulanate, prescribed as a first line antibiotic at the time of diagnosis"
G9316,Doc comm risk calc,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family"
G9317,No doc comm risk calc,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family not completed"
G9318,Image std nomenclature,Imaging study named according to standardized nomenclature
G9319,Image not std nomenclature,"Imaging study not named according to standardized nomenclature, reason not given"
G9320,Medrsn no std nomenclature,"Documentation of medical reason(s) for not naming ct studies according to a standardized nomenclature provided (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)"
G9321,Doc count of ct in 12mo,Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial perfusion) studies documented in the 12-month period prior to the current study
G9322,No doc count of ct in 12mo,"Count of previous ct and cardiac nuclear medicine (myocardial perfusion) studies not documented in the 12-month period prior to the current study, reason not given"
G9323,Mdrsn no doc cnt of ct,"Documentation of medical reason(s) for not counting previous ct and cardiac nuclear medicine (myocardial perfusion) studies (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)"
G9324,Not all data norsn,"All necessary data elements not included, reason not given"
G9325,Medrsn no ct rpt to reg,"Ct studies not reported to a radiation dose index registry due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)"
G9326,"Ct done no rad ds index, nrg","Ct studies performed not reported to a radiation dose index registry that is capable of collecting at a minimum all necessary data elements, reason not given"
G9327,Ct done rad ds index,Ct studies performed reported to a radiation dose index registry that is capable of collecting at a minimum all necessary data elements
G9328,Medrsn no dicom format doc,"Dicom format image data availability not documented in final report due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)"
G9329,Norsn no dicom format doc,"Dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study not documented in final report,"
G9340,Dicom format doc on rpt,"Final report documented that dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study"
G9341,Srch for ct w in 12 mos,"Search conducted for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared archive prior to an imaging study being perfo"
G9342,No srch for ct in 12mo norsn,"Search not conducted prior to an imaging study being performed for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared"
G9343,Medrsn no dicom srch,"Due to medical reasons, search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, med"
G9344,Sysrsn no dicom srch,"Due to system reasons search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media"
G9345,Follow up pulm nod,"Follow-up recommendations documented according to recommended guidelines for incidentally detected pulmonary nodules (e.g., follow-up ct imaging studies needed or that no follow-up is needed) based at a minimum on nodule size and patient risk factors"
G9346,No follow up pulm nod,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules due to medical reasons (e.g., patients with known malignant disease, patients with unexplained fever, ct studies performed for radiati"
G9347,No follow up pulm nod norsn,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules, reason not given"
G9348,Doc rsn for ord ct scan,Ct scan of the paranasal sinuses ordered at the time of diagnosis for documented reasons
G9349,Ct within 28 days,Ct scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis
G9350,No doc sinus ct 28d or dx,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or received within 28 days after date of diagnosis
G9351,Doc >1 sinus ct w 90d dx,More than one ct scan of the paranasal sinuses ordered or received within 90 days after diagnosis
G9352,Not >1 sinus ct w 90d dx,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis, reason not given"
G9353,Medrsn >1 sinus ct w 90d dx,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis for documented reasons (eg, patients with complications, second ct obtained prior to surgery, other medical reasons)"
G9354,1 or no ct sinus w/in 90d dx,One ct scan or no ct scan of the paranasal sinuses ordered within 90 days after the date of diagnosis
G9355,No early ind/delivery,"Early elective delivery by c-section, or early elective induction, not performed (less than 39 weeks gestation)"
G9356,Early ind/delivery,"Early elective delivery by c-section, or early elective induction, performed (less than 39 week gestation)"
G9357,Pp eval/edu perf,"Post-partum screenings, evaluations and education performed"
G9358,Pp eval/edu not perf,"Post-partum screenings, evaluations and education not performed"
